ï»¿id,sender_name,sender_email,subject,body,cleaned_text,category,urgency
173,Rakesh King,rakesh.king@initech.com,Requesting environment access for QA,If you can enable a temporary password that would help. I've tried the 'forgot password' option but it fails at verification. I can confirm my identity if required. Please let me know what information you need from my side.,requesting environment access qa enable temporary password would help ive tried forgot password option fails verification confirm identity required please let know information need side,request,medium
117,Chris Thomas,chris.thomas41@hotmail.com,Request to add billing contact,It would be great if the reports could include CSV export by date range. A dark mode would be appreciated for long working hours. Please let me know what information you need from my side.,request add billing contact would great report could include csv export date range dark mode would appreciated long working hour please let know information need side,request,low
136,Avery Hernandez,avery.hernandez@starkindustries.com,Can I get admin privileges?,This feature would really speed up our daily workflows. It would be great if the reports could include CSV export by date range. A dark mode would be appreciated for long working hours. Please let me know what information you need from my side.,get admin privilege feature would really speed daily workflow would great report could include csv export date range dark mode would appreciated long working hour please let know information need side,feedback,low
109,Rohit Adams,rohit.adams@outlook.com,Payment failed and account suspended,"This is blocking our team's access to premium features. The transaction went through on my bank, but the app still shows unpaid.",payment failed account suspended blocking team access premium feature transaction went bank app still show unpaid,feedback,low
165,Chris Baker,chris.baker@techify.com,Request: password reset,This is blocking our team's access to premium features. Can someone confirm whether the refund has been initiated? Please let me know what information you need from my side.,request password reset blocking team access premium feature someone confirm whether refund initiated please let know information need side,request,medium
112,Meera Anderson,meera.anderson@gmail.com,Feature X broke after latest patch,I'm on Android 12 and the crash happens every time I try to upload a file. Please advise on a workaround Ã¢â¬â we need this for our demo tomorrow.,feature x broke latest patch im android 12 crash happens every time try upload file please advise workaround ã¢â¬â need demo tomorrow,feedback,low
243,Noah Singh,noah.singh@gmail.com,Limited time offer Ã¢â¬â act now,Verify your account details to receive the gift card. You've won! Click the link to claim your reward now.,limited time offer ã¢â¬â act verify account detail receive gift card youve click link claim reward,spam,low
87,Jamie Hall,jamie.hall23@yahoo.com,Unable to access my account - urgent,Several users reported timeouts when trying to run reports. The application returns a 503 error under normal load. My account ID is 378258.,unable access account urgent several user reported timeouts trying run report application return 503 error normal load account id 378258,feedback,high
249,Zoe Khan,zoe.khan@globex.com,Exclusive deal just for you,Transfer funds to unlock your cash prize.,exclusive deal transfer fund unlock cash prize,feedback,low
169,Nina Patel,nina.patel@acme.com,Requesting environment access for QA,"The transaction went through on my bank, but the app still shows unpaid. This is blocking our team's access to premium features. Can someone confirm whether the refund has been initiated? Please let me know what information you need from my side.",requesting environment access qa transaction went bank app still show unpaid blocking team access premium feature someone confirm whether refund initiated please let know information need side,request,medium
118,Nina Wright,nina.wright@yahoo.com,Need access to new project folder,"I don't have access to my recovery phone, so I can't complete the flow. I can confirm my identity if required. I've tried the 'forgot password' option but it fails at verification. Please let me know what information you need from my side.",need access new project folder dont access recovery phone cant complete flow confirm identity required ive tried forgot password option fails verification please let know information need side,feedback,low
240,Drew Sharma,drew.sharma@gmail.com,This is not a scam Ã¢â¬â claim prize,"This is a limited time offer, no purchase necessary.",scam ã¢â¬â claim prize limited time offer purchase necessary,spam,low
231,Noah Walker,noah.walker92@gmail.com,Exclusive deal just for you,Transfer funds to unlock your cash prize. Act now to secure this one-time deal.,exclusive deal transfer fund unlock cash prize act secure onetime deal,feedback,low
144,Morgan Moore,morgan.moore@outlook.com,Can I get admin privileges?,Could you please reset my password and send the link to my email? If you can enable a temporary password that would help. Please let me know what information you need from my side.,get admin privilege could please reset password send link email enable temporary password would help please let know information need side,request,medium
209,Priya Garcia,priya.garcia@hotmail.com,Feedback: mobile app layout,Overall experience has improved since the last release. The new update made the interface much more intuitive. Good job on the recent improvements Ã¢â¬â noticed fewer errors. Thanks again for the team effort.,feedback mobile app layout overall experience improved since last release new update made interface much intuitive good job recent improvement ã¢â¬â noticed fewer error thanks team effort,feedback,low
53,Avery Johnson,avery.johnson@yahoo.com,Feature X broke after latest patch,I tried resetting the password but the reset link doesn't arrive. I'm unable to log in since this morning. My account shows as locked and I need access for an urgent client call. Every time I enter my credentials I get an 'invalid password' message. This is urgent and affecting multiple users. My account ID is 114835.,feature x broke latest patch tried resetting password reset link doesnt arrive im unable log since morning account show locked need access urgent client call every time enter credential get invalid password message urgent affecting multiple user account id 114835,feedback,high
221,Alex Martin,alex.martin89@hotmail.com,App improvements - readability,A dark mode would be appreciated for long working hours. It would be great if the reports could include CSV export by date range.,app improvement readability dark mode would appreciated long working hour would great report could include csv export date range,feedback,low
142,Automated Sender,it@netcore.com,Requesting environment access for QA,This feature would really speed up our daily workflows. A dark mode would be appreciated for long working hours. Please let me know what information you need from my side. My account ID is 395023.,requesting environment access qa feature would really speed daily workflow dark mode would appreciated long working hour please let know information need side account id 395023,request,low
145,Liam Hill,liam.hill@netcore.com,Please increase API rate limit,A payment attempt failed and my subscription shows as suspended. This is blocking our team's access to premium features. Please let me know what information you need from my side. My account ID is 449218.,please increase api rate limit payment attempt failed subscription show suspended blocking team access premium feature please let know information need side account id 449218,feedback,low
163,Olivia Wright,olivia.wright@outlook.com,How to export my data?,This feature would really speed up our daily workflows. It would be great if the reports could include CSV export by date range. Please let me know what information you need from my side.,export data feature would really speed daily workflow would great report could include csv export date range please let know information need side,feedback,low
18,Quinn Scott,quinn.scott@gmail.com,Unable to access my account - urgent,Our staging server has been down intermittently for the past two hours. Can you check the server logs and let us know what's causing this? We noticed CPU spikes and very slow response times after the update. Several users reported timeouts when trying to run reports.,unable access account urgent staging server intermittently past two hour check server log let u know whats causing noticed cpu spike slow response time update several user reported timeouts trying run report,feedback,high
208,Arjun Allen,arjun.allen18@outlook.com,Loving the new onboarding flow,"Good job on the recent improvements Ã¢â¬â noticed fewer errors. Thanks for resolving the issue quickly, the team really appreciated it. Thanks again for the team effort.",loving new onboarding flow good job recent improvement ã¢â¬â noticed fewer error thanks resolving issue quickly team really appreciated thanks team effort,complaint,low
159,Alex Lopez,alex.lopez@initech.com,Can I get admin privileges?,This feature would really speed up our daily workflows. Please consider adding keyboard shortcuts for power users. Please let me know what information you need from my side.,get admin privilege feature would really speed daily workflow please consider adding keyboard shortcut power user please let know information need side,feedback,low
184,Frank Scott,frank.scott@outlook.com,Help with two-factor authentication setup,"The transaction went through on my bank, but the app still shows unpaid. I need help reprocessing the failed payment and restoring access. Please let me know what information you need from my side.",help twofactor authentication setup transaction went bank app still show unpaid need help reprocessing failed payment restoring access please let know information need side,request,medium
134,Automated Sender,billing@globex.com,Requesting environment access for QA,"The transaction went through on my bank, but the app still shows unpaid. This is blocking our team's access to premium features. A payment attempt failed and my subscription shows as suspended. Please let me know what information you need from my side.",requesting environment access qa transaction went bank app still show unpaid blocking team access premium feature payment attempt failed subscription show suspended please let know information need side,request,low
88,Vince Khan,vince.khan@hotmail.com,Email notifications stopped working,I'm unable to log in since this morning. My account shows as locked and I need access for an urgent client call. I tried resetting the password but the reset link doesn't arrive. This is affecting my ability to complete billing tasks. My account ID is 921273.,email notification stopped working im unable log since morning account show locked need access urgent client call tried resetting password reset link doesnt arrive affecting ability complete billing task account id 921273,feedback,high
97,Jasper Smith,jasper.smith@hotmail.com,Feature X broke after latest patch,I'm unable to log in since this morning. Every time I enter my credentials I get an 'invalid password' message. This is urgent and affecting multiple users.,feature x broke latest patch im unable log since morning every time enter credential get invalid password message urgent affecting multiple user,feedback,high
14,Siddharth Wilson,siddharth.wilson@umbrella.com,Email notifications stopped working,Attached are the steps to reproduce and a screenshot of the error. The mobile app crashes immediately after tapping 'Start'. Please advise on a workaround Ã¢â¬â we need this for our demo tomorrow. I reinstalled the app but the issue persists. This is urgent and affecting multiple users. My account ID is 680828.,email notification stopped working attached step reproduce screenshot error mobile app crash immediately tapping start please advise workaround ã¢â¬â need demo tomorrow reinstalled app issue persists urgent affecting multiple user account id 680828,complaint,high
37,Nina Adams,nina.adams@gmail.com,Server error 500 on reports,Can you check the server logs and let us know what's causing this? We noticed CPU spikes and very slow response times after the update. This is urgent and affecting multiple users. My account ID is 989545.,server error 500 report check server log let u know whats causing noticed cpu spike slow response time update urgent affecting multiple user account id 989545,feedback,high
167,Morgan Gonzalez,morgan.gonzalez@gmail.com,Please enable SSO for my account,A dark mode would be appreciated for long working hours. Please consider adding keyboard shortcuts for power users. Can you add an option to filter by user role in the dashboard? Please let me know what information you need from my side.,please enable sso account dark mode would appreciated long working hour please consider adding keyboard shortcut power user add option filter user role dashboard please let know information need side,feedback,low
230,Sam Allen,sam.allen@globex.com,Claim your free gift card now,Verify your account details to receive the gift card.,claim free gift card verify account detail receive gift card,feedback,low
47,Dana Scott,dana.scott@cloudwave.com,Unable to access my account - urgent,"Can someone confirm whether the refund has been initiated? I need help reprocessing the failed payment and restoring access. A payment attempt failed and my subscription shows as suspended. The transaction went through on my bank, but the app still shows unpaid. This is urgent and affecting multiple users.",unable access account urgent someone confirm whether refund initiated need help reprocessing failed payment restoring access payment attempt failed subscription show suspended transaction went bank app still show unpaid urgent affecting multiple user,request,high
168,Chris King,chris.king@company.com,How to export my data?,It would be great if the reports could include CSV export by date range. Can you add an option to filter by user role in the dashboard? A dark mode would be appreciated for long working hours. Please let me know what information you need from my side.,export data would great report could include csv export date range add option filter user role dashboard dark mode would appreciated long working hour please let know information need side,feedback,low
80,Liam Singh,liam.singh@netcore.com,Unable to access my account - urgent,"A payment attempt failed and my subscription shows as suspended. Can someone confirm whether the refund has been initiated? The transaction went through on my bank, but the app still shows unpaid. I need help reprocessing the failed payment and restoring access.",unable access account urgent payment attempt failed subscription show suspended someone confirm whether refund initiated transaction went bank app still show unpaid need help reprocessing failed payment restoring access,request,high
7,Automated Sender,billing@company.com,Severe slowdown on dashboard,This is affecting my ability to complete billing tasks. I tried resetting the password but the reset link doesn't arrive. This is urgent and affecting multiple users.,severe slowdown dashboard affecting ability complete billing task tried resetting password reset link doesnt arrive urgent affecting multiple user,complaint,high
26,Rakesh Brown,rakesh.brown57@yahoo.com,Server error 500 on reports,I'm unable to log in since this morning. This is affecting my ability to complete billing tasks.,server error 500 report im unable log since morning affecting ability complete billing task,feedback,low
