id,sender_name,sender_email,subject,body
173,Rakesh King,rakesh.king@initech.com,Requesting environment access for QA,If you can enable a temporary password that would help. I've tried the 'forgot password' option but it fails at verification. I can confirm my identity if required. Please let me know what information you need from my side.
117,Chris Thomas,chris.thomas41@hotmail.com,Request to add billing contact,It would be great if the reports could include CSV export by date range. A dark mode would be appreciated for long working hours. Please let me know what information you need from my side.
136,Avery Hernandez,avery.hernandez@starkindustries.com,Can I get admin privileges?,This feature would really speed up our daily workflows. It would be great if the reports could include CSV export by date range. A dark mode would be appreciated for long working hours. Please let me know what information you need from my side.
109,Rohit Adams,rohit.adams@outlook.com,Payment failed and account suspended,"This is blocking our team's access to premium features. The transaction went through on my bank, but the app still shows unpaid."
165,Chris Baker,chris.baker@techify.com,Request: password reset,This is blocking our team's access to premium features. Can someone confirm whether the refund has been initiated? Please let me know what information you need from my side.
112,Meera Anderson,meera.anderson@gmail.com,Feature X broke after latest patch,I'm on Android 12 and the crash happens every time I try to upload a file. Please advise on a workaround â€” we need this for our demo tomorrow.
243,Noah Singh,noah.singh@gmail.com,Limited time offer â€” act now,Verify your account details to receive the gift card. You've won! Click the link to claim your reward now.
87,Jamie Hall,jamie.hall23@yahoo.com,Unable to access my account - urgent,Several users reported timeouts when trying to run reports. The application returns a 503 error under normal load. My account ID is 378258.
249,Zoe Khan,zoe.khan@globex.com,Exclusive deal just for you,Transfer funds to unlock your cash prize.
169,Nina Patel,nina.patel@acme.com,Requesting environment access for QA,"The transaction went through on my bank, but the app still shows unpaid. This is blocking our team's access to premium features. Can someone confirm whether the refund has been initiated? Please let me know what information you need from my side."
118,Nina Wright,nina.wright@yahoo.com,Need access to new project folder,"I don't have access to my recovery phone, so I can't complete the flow. I can confirm my identity if required. I've tried the 'forgot password' option but it fails at verification. Please let me know what information you need from my side."
240,Drew Sharma,drew.sharma@gmail.com,This is not a scam â€” claim prize,"This is a limited time offer, no purchase necessary."
231,Noah Walker,noah.walker92@gmail.com,Exclusive deal just for you,Transfer funds to unlock your cash prize. Act now to secure this one-time deal.
144,Morgan Moore,morgan.moore@outlook.com,Can I get admin privileges?,Could you please reset my password and send the link to my email? If you can enable a temporary password that would help. Please let me know what information you need from my side.
209,Priya Garcia,priya.garcia@hotmail.com,Feedback: mobile app layout,Overall experience has improved since the last release. The new update made the interface much more intuitive. Good job on the recent improvements â€” noticed fewer errors. Thanks again for the team effort.
53,Avery Johnson,avery.johnson@yahoo.com,Feature X broke after latest patch,I tried resetting the password but the reset link doesn't arrive. I'm unable to log in since this morning. My account shows as locked and I need access for an urgent client call. Every time I enter my credentials I get an 'invalid password' message. This is urgent and affecting multiple users. My account ID is 114835.
221,Alex Martin,alex.martin89@hotmail.com,App improvements - readability,A dark mode would be appreciated for long working hours. It would be great if the reports could include CSV export by date range.
142,Automated Sender,it@netcore.com,Requesting environment access for QA,This feature would really speed up our daily workflows. A dark mode would be appreciated for long working hours. Please let me know what information you need from my side. My account ID is 395023.
145,Liam Hill,liam.hill@netcore.com,Please increase API rate limit,A payment attempt failed and my subscription shows as suspended. This is blocking our team's access to premium features. Please let me know what information you need from my side. My account ID is 449218.
163,Olivia Wright,olivia.wright@outlook.com,How to export my data?,This feature would really speed up our daily workflows. It would be great if the reports could include CSV export by date range. Please let me know what information you need from my side.
18,Quinn Scott,quinn.scott@gmail.com,Unable to access my account - urgent,Our staging server has been down intermittently for the past two hours. Can you check the server logs and let us know what's causing this? We noticed CPU spikes and very slow response times after the update. Several users reported timeouts when trying to run reports.
208,Arjun Allen,arjun.allen18@outlook.com,Loving the new onboarding flow,"Good job on the recent improvements â€” noticed fewer errors. Thanks for resolving the issue quickly, the team really appreciated it. Thanks again for the team effort."
159,Alex Lopez,alex.lopez@initech.com,Can I get admin privileges?,This feature would really speed up our daily workflows. Please consider adding keyboard shortcuts for power users. Please let me know what information you need from my side.
184,Frank Scott,frank.scott@outlook.com,Help with two-factor authentication setup,"The transaction went through on my bank, but the app still shows unpaid. I need help reprocessing the failed payment and restoring access. Please let me know what information you need from my side."
134,Automated Sender,billing@globex.com,Requesting environment access for QA,"The transaction went through on my bank, but the app still shows unpaid. This is blocking our team's access to premium features. A payment attempt failed and my subscription shows as suspended. Please let me know what information you need from my side."
88,Vince Khan,vince.khan@hotmail.com,Email notifications stopped working,I'm unable to log in since this morning. My account shows as locked and I need access for an urgent client call. I tried resetting the password but the reset link doesn't arrive. This is affecting my ability to complete billing tasks. My account ID is 921273.
97,Jasper Smith,jasper.smith@hotmail.com,Feature X broke after latest patch,I'm unable to log in since this morning. Every time I enter my credentials I get an 'invalid password' message. This is urgent and affecting multiple users.
14,Siddharth Wilson,siddharth.wilson@umbrella.com,Email notifications stopped working,Attached are the steps to reproduce and a screenshot of the error. The mobile app crashes immediately after tapping 'Start'. Please advise on a workaround â€” we need this for our demo tomorrow. I reinstalled the app but the issue persists. This is urgent and affecting multiple users. My account ID is 680828.
37,Nina Adams,nina.adams@gmail.com,Server error 500 on reports,Can you check the server logs and let us know what's causing this? We noticed CPU spikes and very slow response times after the update. This is urgent and affecting multiple users. My account ID is 989545.
167,Morgan Gonzalez,morgan.gonzalez@gmail.com,Please enable SSO for my account,A dark mode would be appreciated for long working hours. Please consider adding keyboard shortcuts for power users. Can you add an option to filter by user role in the dashboard? Please let me know what information you need from my side.
230,Sam Allen,sam.allen@globex.com,Claim your free gift card now,Verify your account details to receive the gift card.
